number,short_description,assignment_group,impact,urgency,sla_percentage,sla_paused
INC000468,Incidente de teste número 468,Web Team,1,1,94,true
INC000469,Incidente de teste número 469,Finance IT,3,1,61,true
INC000470,Incidente de teste número 470,Web Team,2,3,55,true
INC000471,Incidente de teste número 471,NOC Brasil,3,3,49,false
INC000472,Incidente de teste número 472,Service Desk,1,3,58,false
INC000473,Incidente de teste número 473,Service Desk,3,1,53,true
INC000474,Incidente de teste número 474,Finance IT,1,3,95,true
INC000475,Incidente de teste número 475,Web Team,3,2,84,false
INC000476,Incidente de teste número 476,Service Desk,3,3,52,true
INC000477,Incidente de teste número 477,App Support,2,3,58,false
INC000478,Incidente de teste número 478,Finance IT,3,3,59,false
INC000479,Incidente de teste número 479,Finance IT,3,1,42,true
INC000480,Incidente de teste número 480,Finance IT,2,3,69,false
INC000481,Incidente de teste número 481,Finance IT,3,2,69,false
INC000482,Incidente de teste número 482,App Support,2,3,63,false
INC000483,Incidente de teste número 483,App Support,2,1,47,false
INC000484,Incidente de teste número 484,Web Team,1,3,75,false
INC000485,Incidente de teste número 485,Web Team,1,1,62,true
INC000486,Incidente de teste número 486,Finance IT,2,1,72,true
INC000487,Incidente de teste número 487,App Support,3,3,54,false
INC000488,Incidente de teste número 488,NOC Brasil,2,3,39,true
INC000489,Incidente de teste número 489,App Support,1,2,56,false
INC000490,Incidente de teste número 490,Service Desk,1,3,62,true
INC000491,Incidente de teste número 491,Finance IT,2,3,35,true
INC000492,Incidente de teste número 492,Web Team,1,3,63,true
INC000493,Incidente de teste número 493,App Support,3,1,85,false
INC000494,Incidente de teste número 494,Web Team,1,1,41,false
INC000495,Incidente de teste número 495,Web Team,2,3,50,true
INC000496,Incidente de teste número 496,App Support,1,1,66,false
INC000497,Incidente de teste número 497,Finance IT,2,2,91,true
INC000498,Incidente de teste número 498,App Support,1,3,55,false
INC000499,Incidente de teste número 499,Service Desk,2,3,79,false
INC000500,Incidente de teste número 500,App Support,3,1,37,true
